# SYSID BEGIN dir=0 duty=0.100 samples=1000 dt=0.001 vbat=7.65
# enc[0]	enc[1]	gyro.z	accel.y	angular_accel	u.tra	u.rot	vbat
0.0000	0.0000	0.001900	-14.7200	1.0600	0.100	0.000	7.65
0.0000	0.0000	0.001900	-14.7200	0.0000	0.100	0.000	7.65
0.0000	0.0000	0.000800	-17.1100	-1.0600	0.100	0.000	7.65
0.0000	0.0000	-0.001300	-17.1100	-2.1300	0.100	0.000	7.65
0.0000	0.0000	-0.001300	-17.1100	0.0000	0.100	0.000	7.65
0.0000	0.0200	-0.006600	-17.1100	-5.3200	0.100	0.000	7.65
0.0000	0.1000	-0.023600	-17.1100	-17.0300	0.100	0.000	7.65
0.0200	0.2000	-0.058700	-17.1100	-35.1200	0.100	0.000	7.65
0.0400	0.3000	-0.094900	-17.1100	-36.1800	0.100	0.000	7.65
0.0800	0.3600	-0.094900	-17.1100	0.0000	0.100	0.000	7.65
0.1000	0.3800	-0.083200	-17.1100	11.7100	0.100	0.000	7.65
0.1400	0.3800	-0.014100	-17.1100	69.1700	0.100	0.000	7.65
0.1800	0.3800	0.076400	2474.0500	90.4600	0.100	0.000	7.65
0.2200	0.3800	0.141300	2474.0500	64.9200	0.100	0.000	7.65
0.2400	0.4000	0.171100	2474.0500	29.8000	0.100	0.000	7.65
0.2800	0.4200	0.171100	2474.0500	0.0000	0.100	0.000	7.65
0.3200	0.4800	0.191300	2474.0500	20.2200	0.100	0.000	7.65
0.3800	0.5400	0.215800	2474.0500	24.4800	0.100	0.000	7.65
0.4200	0.6000	0.246700	2474.0500	30.8600	0.100	0.000	7.65
0.4600	0.6600	0.286100	2474.0500	39.3800	0.100	0.000	7.65
0.5000	0.7200	0.321200	2474.0500	35.1200	0.100	0.000	7.65
0.5600	0.7800	0.321200	2474.0500	0.0000	0.100	0.000	7.65
0.6000	0.8400	0.337100	2647.0400	15.9600	0.100	0.000	7.65
0.6400	0.9000	0.331800	2647.0400	-5.3200	0.100	0.000	7.65
0.6800	0.9800	0.321200	2647.0400	-10.6400	0.100	0.000	7.65
0.7400	1.0600	0.315900	2647.0400	-5.3200	0.100	0.000	7.65
0.7800	1.1400	0.321200	2647.0400	5.3200	0.100	0.000	7.65
0.8200	1.2000	0.321200	2647.0400	0.0000	0.100	0.000	7.65
0.8800	1.2800	0.334000	2647.0400	12.7700	0.100	0.000	7.65
0.9400	1.3600	0.348800	2647.0400	14.9000	0.100	0.000	7.65
0.9800	1.4400	0.353100	2647.0400	4.2600	0.100	0.000	7.65
1.0400	1.5200	0.343500	1528.9400	-9.5800	0.100	0.000	7.65
1.1000	1.6000	0.326500	1528.9400	-17.0300	0.100	0.000	7.65
1.1600	1.6800	0.326500	1528.9400	0.0000	0.100	0.000	7.65
1.2200	1.7500	0.314800	1528.9400	-11.7100	0.100	0.000	7.65
1.3000	1.8300	0.315900	1528.9400	1.0600	0.100	0.000	7.65
1.3800	1.9100	0.319100	1528.9400	3.1900	0.100	0.000	7.65
1.4600	1.9900	0.310500	1528.9400	-8.5100	0.100	0.000	7.65
1.5400	2.0700	0.286100	1528.9400	-24.4800	0.100	0.000	7.65
1.6000	2.1500	0.286100	1528.9400	0.0000	0.100	0.000	7.65
1.6800	2.2300	0.246700	1528.9400	-39.3800	0.100	0.000	7.65
1.7500	2.3300	0.204100	1956.3100	-42.5700	0.100	0.000	7.65
1.8300	2.4300	0.177500	1956.3100	-26.6100	0.100	0.000	7.65
1.9300	2.5300	0.167900	1956.3100	-9.5800	0.100	0.000	7.65
2.0100	2.6300	0.163700	1956.3100	-4.2600	0.100	0.000	7.65
2.1100	2.7300	0.163700	1956.3100	0.0000	0.100	0.000	7.65
2.2300	2.8300	0.152000	1956.3100	-11.7100	0.100	0.000	7.65
2.3300	2.9300	0.119000	1956.3100	-32.9900	0.100	0.000	7.65
2.4700	3.0300	0.073200	1956.3100	-45.7600	0.100	0.000	7.65
2.5900	3.1300	0.042400	1956.3100	-30.8600	0.100	0.000	7.65
2.7500	3.2300	0.024300	2363.9200	-18.0900	0.100	0.000	7.65
2.8900	3.3300	0.024300	2363.9200	0.0000	0.100	0.000	7.65
3.0300	3.4300	0.001900	2363.9200	-22.3500	0.100	0.000	7.65
3.1700	3.5300	-0.037500	2363.9200	-39.3800	0.100	0.000	7.65
3.3100	3.6300	-0.093900	2363.9200	-56.4000	0.100	0.000	7.65
3.4500	3.7300	-0.163000	2363.9200	-69.1700	0.100	0.000	7.65
3.5900	3.8500	-0.236500	2363.9200	-73.4300	0.100	0.000	7.65
3.7300	3.9700	-0.236500	2363.9200	0.0000	0.100	0.000	7.65
3.8900	4.1100	-0.298200	2363.9200	-61.7300	0.100	0.000	7.65
4.0300	4.2300	-0.325900	2363.9200	-27.6700	0.100	0.000	7.65
4.1900	4.3500	-0.316300	1871.3100	9.5800	0.100	0.000	7.65
4.3300	4.4700	-0.287600	1871.3100	28.7300	0.100	0.000	7.65
4.4900	4.6100	-0.258800	1871.3100	28.7300	0.100	0.000	7.65
4.6300	4.7300	-0.258800	1871.3100	0.0000	0.100	0.000	7.65
4.7700	4.8700	-0.228000	1871.3100	30.8600	0.100	0.000	7.65
4.9300	4.9900	-0.180100	1871.3100	47.8900	0.100	0.000	7.65
5.0900	5.1300	-0.117300	1871.3100	62.7900	0.100	0.000	7.65
5.2400	5.2800	-0.050200	1871.3100	67.0500	0.100	0.000	7.65
5.3800	5.4200	0.009400	1871.3100	59.6000	0.100	0.000	7.65
5.5400	5.5600	0.009400	1871.3100	0.0000	0.100	0.000	7.65
5.7000	5.7200	0.057300	1789.9100	47.8900	0.100	0.000	7.65
5.8400	5.8600	0.095600	1789.9100	38.3100	0.100	0.000	7.65
6.0000	6.0200	0.117900	1789.9100	22.3500	0.100	0.000	7.65
6.1600	6.1800	0.124300	1789.9100	6.3900	0.100	0.000	7.65
6.3200	6.3400	0.129600	1789.9100	5.3200	0.100	0.000	7.65
6.5000	6.5200	0.129600	1789.9100	0.0000	0.100	0.000	7.65
6.6600	6.7000	0.140300	1789.9100	10.6400	0.100	0.000	7.65
6.8400	6.8600	0.155200	1789.9100	14.9000	0.100	0.000	7.65
7.0400	7.0400	0.171100	1789.9100	15.9600	0.100	0.000	7.65
7.2200	7.2000	0.189200	2225.0600	18.0900	0.100	0.000	7.65
7.4000	7.3800	0.189200	2225.0600	0.0000	0.100	0.000	7.65
7.5800	7.5600	0.200900	2225.0600	11.7100	0.100	0.000	7.65
7.7600	7.7400	0.189200	2225.0600	-11.7100	0.100	0.000	7.65
7.9400	7.9200	0.157300	2225.0600	-31.9300	0.100	0.000	7.65
8.1200	8.1400	0.132800	2225.0600	-24.4800	0.100	0.000	7.65
8.3200	8.3600	0.139200	2225.0600	6.3900	0.100	0.000	7.65
8.5000	8.5700	0.139200	2225.0600	0.0000	0.100	0.000	7.65
8.6900	8.7700	0.185000	2225.0600	45.7600	0.100	0.000	7.65
8.8700	8.9500	0.266900	2225.0600	81.9500	0.100	0.000	7.65
9.0700	9.1500	0.358400	1790.5100	91.5200	0.100	0.000	7.65
9.2700	9.3300	0.428700	1790.5100	70.2400	0.100	0.000	7.65
9.4700	9.5300	0.453100	1790.5100	24.4800	0.100	0.000	7.65
9.6700	9.7300	0.453100	1790.5100	0.0000	0.100	0.000	7.65
9.8700	9.9500	0.428700	1790.5100	-24.4800	0.100	0.000	7.65
10.0900	10.1900	0.377600	1790.5100	-51.0800	0.100	0.000	7.65
10.3100	10.4100	0.320100	1790.5100	-57.4700	0.100	0.000	7.65
10.5100	10.6300	0.258400	1790.5100	-61.7300	0.100	0.000	7.65
10.7100	10.8500	0.208400	1790.5100	-50.0200	0.100	0.000	7.65
10.9100	11.0700	0.208400	1790.5100	0.0000	0.100	0.000	7.65
11.1100	11.2900	0.182800	1526.5500	-25.5400	0.100	0.000	7.65
11.3300	11.5100	0.171100	1526.5500	-11.7100	0.100	0.000	7.65
11.5500	11.7500	0.166900	1526.5500	-4.2600	0.100	0.000	7.65
11.7700	12.0000	0.166900	1526.5500	0.0000	0.100	0.000	7.65
12.0000	12.2600	0.171100	1526.5500	4.2600	0.100	0.000	7.65
12.2600	12.5200	0.171100	1526.5500	0.0000	0.100	0.000	7.65
12.5000	12.7600	0.204100	1526.5500	32.9900	0.100	0.000	7.65
12.7200	13.0000	0.272200	1526.5500	68.1100	0.100	0.000	7.65
12.9400	13.2400	0.327600	1526.5500	55.3400	0.100	0.000	7.65
13.1800	13.4800	0.329700	1971.2700	2.1300	0.100	0.000	7.65
13.4000	13.7400	0.299900	1971.2700	-29.8000	0.100	0.000	7.65
13.6400	14.0200	0.299900	1971.2700	0.0000	0.100	0.000	7.65
13.9000	14.3000	0.277500	1971.2700	-22.3500	0.100	0.000	7.65
14.1800	14.5600	0.276500	1971.2700	-1.0600	0.100	0.000	7.65
14.4400	14.8400	0.290300	1971.2700	13.8300	0.100	0.000	7.65
14.7200	15.1200	0.310500	1971.2700	20.2200	0.100	0.000	7.65
14.9800	15.3800	0.304200	1971.2700	-6.3900	0.100	0.000	7.65
15.2200	15.6700	0.304200	1971.2700	0.0000	0.100	0.000	7.65
15.4500	15.9500	0.261600	1971.2700	-42.5700	0.100	0.000	7.65
15.6900	16.2700	0.230700	1729.4600	-30.8600	0.100	0.000	7.65
15.9500	16.5700	0.252000	1729.4600	21.2800	0.100	0.000	7.65
16.2300	16.8300	0.319100	1729.4600	67.0500	0.100	0.000	7.65
16.4900	17.1100	0.394600	1729.4600	75.5600	0.100	0.000	7.65
16.7700	17.3900	0.394600	1729.4600	0.0000	0.100	0.000	7.65
17.0300	17.6900	0.445700	1729.4600	51.0800	0.100	0.000	7.65
17.3100	18.0100	0.459500	1729.4600	13.8300	0.100	0.000	7.65
17.5700	18.3300	0.421200	1729.4600	-38.3100	0.100	0.000	7.65
17.8500	18.6300	0.356300	1729.4600	-64.9200	0.100	0.000	7.65
18.1300	18.9000	0.316900	1301.4900	-39.3800	0.100	0.000	7.65
18.4100	19.2000	0.316900	1301.4900	0.0000	0.100	0.000	7.65
18.6900	19.5000	0.302000	1301.4900	-14.9000	0.100	0.000	7.65
18.9600	19.8400	0.293500	1301.4900	-8.5100	0.100	0.000	7.65
19.2600	20.1800	0.290300	1301.4900	-3.1900	0.100	0.000	7.65
19.5400	20.5000	0.282900	1301.4900	-7.4500	0.100	0.000	7.65
19.8200	20.8000	0.276500	1301.4900	-6.3900	0.100	0.000	7.65
20.1200	21.1200	0.276500	1301.4900	0.0000	0.100	0.000	7.65
20.4200	21.4200	0.295600	1301.4900	19.1600	0.100	0.000	7.65
20.7200	21.7200	0.335000	1301.4900	39.3800	0.100	0.000	7.65
21.0400	22.0800	0.363700	1451.7300	28.7300	0.100	0.000	7.65
21.3400	22.4100	0.372300	1451.7300	8.5100	0.100	0.000	7.65
21.6600	22.7500	0.372300	1451.7300	0.0000	0.100	0.000	7.65
21.9600	23.0700	0.372300	1451.7300	0.0000	0.100	0.000	7.65
22.2500	23.3900	0.370100	1451.7300	-2.1300	0.100	0.000	7.65
22.5500	23.7100	0.361600	1451.7300	-8.5100	0.100	0.000	7.65
22.8500	24.0300	0.327600	1451.7300	-34.0600	0.100	0.000	7.65
23.1500	24.3900	0.286100	1451.7300	-41.5000	0.100	0.000	7.65
23.4500	24.7500	0.269000	1451.7300	-17.0300	0.100	0.000	7.65
23.7500	25.0900	0.269000	1451.7300	0.0000	0.100	0.000	7.65
24.0700	25.3900	0.294600	1483.4500	25.5400	0.100	0.000	7.65
24.3900	25.7000	0.354200	1483.4500	59.6000	0.100	0.000	7.65
